"id","partisan_score","misinfo_score","misinfo_score_weighted"
244973299,NA,0.833,0.833
632279524,-0.967,0.436,0.448
8.52e+17,NA,NA,NA
601890937,-0.8,0.437,0.446
2777532764,-0.6,0.523,0.611
4158021141,-1,0.437,0.447
7.49e+17,NA,NA,NA
2756585388,-0.846,0.444,0.404
149763376,-0.927,0.457,0.474
7.08e+17,NA,NA,NA
942422990,-0.864,0.424,0.452
457743272,-1,0.433,0.448
572965711,-1,0.363,0.304
3013190934,-0.893,0.447,0.42
2900266259,-1,0.31,0.351
292898515,-1,0.175,0.094
30112633,-0.832,0.434,0.423
920257832,-0.836,0.441,0.491
7.13e+17,NA,NA,NA
57790324,0.923,0.68,0.66
1867750286,-0.961,0.423,0.421
570841936,-1,0.469,0.372
542605425,-0.933,0.46,0.478
156306739,-0.833,0.42,0.45
563924333,-1,0.546,0.545
859780896,1,0.66,0.449
1965129498,-1,0.426,0.426
987742428,-1,0.482,0.532
612817586,-0.875,0.443,0.45
141938077,NA,NA,NA
7.59e+17,NA,NA,NA
24046130,-0.735,0.429,0.434
2413332228,-0.875,0.416,0.447
910419943,-1,0.817,0.817
1579596458,-0.8,0.43,0.43
353379283,-0.695,0.426,0.416
2662929002,-0.902,0.42,0.432
837009806,-1,0.428,0.382
291780711,-1,0.267,0.267
7.79e+17,NA,NA,NA
45673524,-0.883,0.442,0.455
1443465937,-1,0.676,0.733
58361723,-0.611,0.417,0.415
301048344,-0.822,0.433,0.439
17537020,-0.92,0.423,0.402
8.34e+17,NA,NA,NA
74149816,-0.913,0.426,0.407
18360735,-0.882,0.452,0.402
9.28e+17,NA,NA,NA
4440595215,-0.933,0.443,0.423
3230917482,-1,0.819,0.818
1729758474,-0.913,0.415,0.407
4534461314,-1,0.32,0.206
22844639,-0.84,0.447,0.446
61399101,-0.833,0.428,0.48
47140656,0,0.62,0.609
2766603077,-0.806,0.419,0.434
8.61e+17,NA,NA,NA
30811054,-0.806,0.453,0.466
8.96e+17,NA,NA,NA
3942640092,NA,NA,NA
4937061,-0.864,0.429,0.414
249219330,-1,0.484,0.508
15677734,-0.667,0.425,0.468
873770179,0.778,0.647,0.685
2902773399,-1,0.376,0.335
76941017,-1,0.338,0.261
216736363,-0.867,0.438,0.468
82241627,-0.6,0.44,0.397
43258164,-0.778,0.492,0.555
201128260,-1,0.449,0.44
14758527,-0.926,0.436,0.424
31897231,-1,0.421,0.409
148237540,-1,0.415,0.441
407055170,-1,0.238,0.176
807865098,-1,0.417,0.554
